local_authority,period,completions,planning_permissions,price_index
Dublin City,2020Q1,1310.0,3744.0,1312.9
Dún Laoghaire-Rathdown,2020Q1,498.0,2557.0,1312.9
Fingal,2020Q1,826.0,2326.0,1312.9
South Dublin,2020Q1,630.0,2843.0,1312.9
Dublin City,2020Q2,504.0,2073.0,1274.8
Dún Laoghaire-Rathdown,2020Q2,204.0,1320.0,1274.8
Fingal,2020Q2,616.0,1502.0,1274.8
South Dublin,2020Q2,332.0,1568.0,1274.8
Dublin City,2020Q3,770.0,3437.0,1281.0
Dún Laoghaire-Rathdown,2020Q3,396.0,1662.0,1281.0
Fingal,2020Q3,586.0,1347.0,1281.0
South Dublin,2020Q3,436.0,1349.0,1281.0
Dublin City,2020Q4,1816.0,3298.0,1339.0
Dún Laoghaire-Rathdown,2020Q4,546.0,1552.0,1339.0
Fingal,2020Q4,744.0,825.0,1339.0
South Dublin,2020Q4,1846.0,1255.0,1339.0
Dublin City,2021Q1,730.0,2197.0,1384.1
Dún Laoghaire-Rathdown,2021Q1,232.0,1739.0,1384.1
Fingal,2021Q1,624.0,1444.0,1384.1
South Dublin,2021Q1,424.0,568.0,1384.1
Dublin City,2021Q2,784.0,3864.0,1489.7
Dún Laoghaire-Rathdown,2021Q2,642.0,1601.0,1489.7
Fingal,2021Q2,1038.0,840.0,1489.7
South Dublin,2021Q2,576.0,1090.0,1489.7
Dublin City,2021Q3,742.0,3227.0,1641.6
Dún Laoghaire-Rathdown,2021Q3,646.0,1983.0,1641.6
Fingal,2021Q3,788.0,2877.0,1641.6
South Dublin,2021Q3,280.0,922.0,1641.6
Dublin City,2021Q4,1896.0,4526.0,1684.7
Dún Laoghaire-Rathdown,2021Q4,1210.0,1782.0,1684.7
Fingal,2021Q4,1270.0,2199.0,1684.7
South Dublin,2021Q4,604.0,1548.0,1684.7
Dublin City,2022Q1,1946.0,1728.0,1686.5
Dún Laoghaire-Rathdown,2022Q1,1162.0,1113.0,1686.5
Fingal,2022Q1,694.0,1161.0,1686.5
South Dublin,2022Q1,486.0,955.0,1686.5
Dublin City,2022Q2,2042.0,3440.0,1694.6
Dún Laoghaire-Rathdown,2022Q2,1336.0,3100.0,1694.6
Fingal,2022Q2,1184.0,1210.0,1694.6
South Dublin,2022Q2,850.0,791.0,1694.6
Dublin City,2022Q3,2430.0,1851.0,1759.6000000000001
Dún Laoghaire-Rathdown,2022Q3,754.0,734.0,1759.6000000000001
Fingal,2022Q3,1120.0,824.0,1759.6000000000001
South Dublin,2022Q3,914.0,751.0,1759.6000000000001
Dublin City,2022Q4,1324.0,2329.0,1697.7
Dún Laoghaire-Rathdown,2022Q4,2160.0,752.0,1697.7
Fingal,2022Q4,1064.0,2667.0,1697.7
South Dublin,2022Q4,1244.0,561.0,1697.7
Dublin City,2023Q1,1012.0,,1581.8
Dún Laoghaire-Rathdown,2023Q1,1758.0,,1581.8
Fingal,2023Q1,814.0,,1581.8
South Dublin,2023Q1,1432.0,,1581.8
Dublin City,2023Q2,1044.0,,1523.7
Dún Laoghaire-Rathdown,2023Q2,1616.0,,1523.7
Fingal,2023Q2,1100.0,,1523.7
South Dublin,2023Q2,934.0,,1523.7
Dublin City,2023Q3,1776.0,,1563.8
Dún Laoghaire-Rathdown,2023Q3,1272.0,,1563.8
Fingal,2023Q3,1546.0,,1563.8
South Dublin,2023Q3,2526.0,,1563.8
Dublin City,2023Q4,3028.0,,1686.4
Dún Laoghaire-Rathdown,2023Q4,2478.0,,1686.4
Fingal,2023Q4,1254.0,,1686.4
South Dublin,2023Q4,1576.0,,1686.4
Dublin City,2024Q1,980.0,,1781.4
Dún Laoghaire-Rathdown,2024Q1,760.0,,1781.4
Fingal,2024Q1,586.0,,1781.4
South Dublin,2024Q1,1392.0,,1781.4
Dublin City,2024Q2,1156.0,,1814.3
Dún Laoghaire-Rathdown,2024Q2,878.0,,1814.3
Fingal,2024Q2,686.0,,1814.3
South Dublin,2024Q2,1402.0,,1814.3
Dublin City,2024Q3,2250.0,,1924.6000000000001
Dún Laoghaire-Rathdown,2024Q3,1208.0,,1924.6000000000001
Fingal,2024Q3,1382.0,,1924.6000000000001
South Dublin,2024Q3,2618.0,,1924.6000000000001
Dublin City,2024Q4,2310.0,,1917.5
Dún Laoghaire-Rathdown,2024Q4,1204.0,,1917.5
Fingal,2024Q4,2198.0,,1917.5
South Dublin,2024Q4,748.0,,1917.5
Dublin City,2025Q1,1366.0,,1873.1000000000001
Dún Laoghaire-Rathdown,2025Q1,482.0,,1873.1000000000001
Fingal,2025Q1,1240.0,,1873.1000000000001
South Dublin,2025Q1,706.0,,1873.1000000000001
Dublin City,2025Q2,2298.0,,1891.3
Dún Laoghaire-Rathdown,2025Q2,1654.0,,1891.3
Fingal,2025Q2,2402.0,,1891.3
South Dublin,2025Q2,1252.0,,1891.3
Dublin City,2025Q3,1810.0,,1927.9
Dún Laoghaire-Rathdown,2025Q3,976.0,,1927.9
Fingal,2025Q3,1516.0,,1927.9
South Dublin,2025Q3,2336.0,,1927.9
Dublin City,2025Q4,3564.0,,1951.5
Dún Laoghaire-Rathdown,2025Q4,966.0,,1951.5
Fingal,2025Q4,2056.0,,1951.5
South Dublin,2025Q4,2738.0,,1951.5
Dublin City,2026Q1,2026.0,,1937.8
Dún Laoghaire-Rathdown,2026Q1,698.0,,1937.8
Fingal,2026Q1,864.0,,1937.8
South Dublin,2026Q1,1486.0,,1937.8
Dublin City,2026Q2,2560.0,,1930.3
Dún Laoghaire-Rathdown,2026Q2,614.0,,1930.3
Fingal,2026Q2,2040.0,,1930.3
South Dublin,2026Q2,1146.0,,1930.3
