local_authority,calendar_year,completions,planning_permissions,average_price_index,total_dublin_completions,prior_year_completions,completion_yoy_growth,delivery_share,lead_time_gap_ratio
Dublin City,2020,4400.0,12552.0,1301.925,12060.0,0.0,0.0,0.3648424543946932,0.0
Dún Laoghaire-Rathdown,2020,1644.0,7091.0,1301.925,12060.0,0.0,0.0,0.136318407960199,0.0
Fingal,2020,2772.0,6000.0,1301.925,12060.0,0.0,0.0,0.2298507462686567,0.0
South Dublin,2020,3244.0,7015.0,1301.925,12060.0,0.0,0.0,0.2689883913764511,0.0
Dublin City,2021,4152.0,13814.0,1550.0249999999999,12486.0,4400.0,-0.056363636363636366,0.3325324363286881,0.0
Dún Laoghaire-Rathdown,2021,2730.0,7105.0,1550.0249999999999,12486.0,1644.0,0.6605839416058394,0.21864488226814033,0.0
Fingal,2021,3720.0,7360.0,1550.0249999999999,12486.0,2772.0,0.341991341991342,0.2979336857280154,0.0
South Dublin,2021,1884.0,4128.0,1550.0249999999999,12486.0,3244.0,-0.4192355117139334,0.15088899567515618,0.0
Dublin City,2022,7742.0,9348.0,1709.6,20710.0,4152.0,0.8646435452793835,0.37382906808305166,1.621286489279256
Dún Laoghaire-Rathdown,2022,5412.0,5699.0,1709.6,20710.0,2730.0,0.9824175824175824,0.261323032351521,1.3102365114560237
Fingal,2022,4062.0,5862.0,1709.6,20710.0,3720.0,0.09193548387096774,0.19613713182037662,1.4771048744460857
South Dublin,2022,3494.0,3058.0,1709.6,20710.0,1884.0,0.8545647558386412,0.1687107677450507,2.007727532913566
Dublin City,2023,6860.0,0.0,1588.9250000000002,25166.0,7742.0,-0.11392405063291139,0.27259000238416914,2.0137026239067057
Dún Laoghaire-Rathdown,2023,7124.0,0.0,1588.9250000000002,25166.0,5412.0,0.3163340724316334,0.283080346499245,0.9973329590117911
Fingal,2023,4714.0,0.0,1588.9250000000002,25166.0,4062.0,0.1605120630231413,0.18731622029722642,1.5613067458633856
South Dublin,2023,6468.0,0.0,1588.9250000000002,25166.0,3494.0,0.8511734401831712,0.25701343081935946,0.6382189239332097
Dublin City,2024,6696.0,0.0,1859.45,21758.0,6860.0,-0.0239067055393586,0.30774887397738765,1.396057347670251
Dún Laoghaire-Rathdown,2024,4050.0,0.0,1859.45,21758.0,7124.0,-0.43149915777653003,0.18613843184116188,1.4071604938271605
Fingal,2024,4852.0,0.0,1859.45,21758.0,4714.0,0.02927450148493848,0.22299843735637467,1.208161582852432
South Dublin,2024,6160.0,0.0,1859.45,21758.0,6468.0,-0.047619047619047616,0.28311425682507585,0.49642857142857144
Dublin City,2025,9038.0,0.0,1910.95,27362.0,6696.0,0.3497610513739546,0.3303121116877421,0.0
Dún Laoghaire-Rathdown,2025,4078.0,0.0,1910.95,27362.0,4050.0,0.006913580246913581,0.14903881295226956,0.0
Fingal,2025,7214.0,0.0,1910.95,27362.0,4852.0,0.4868095630667766,0.2636503179592135,0.0
South Dublin,2025,7032.0,0.0,1910.95,27362.0,6160.0,0.14155844155844155,0.2569987574007748,0.0
Dublin City,2026,4586.0,0.0,1934.05,11434.0,9038.0,-0.4925868554990042,0.4010844848696869,0.0
Dún Laoghaire-Rathdown,2026,1312.0,0.0,1934.05,11434.0,4078.0,-0.678273663560569,0.11474549588945251,0.0
Fingal,2026,2904.0,0.0,1934.05,11434.0,7214.0,-0.5974494039367896,0.25397935980409303,0.0
South Dublin,2026,2632.0,0.0,1934.05,11434.0,7032.0,-0.6257110352673493,0.23019065943676753,0.0
